# link_name	path	kind	feature	page	status	updated	title	aliases	links_out	code_refs
# generated by wiki-index.sh from business-docs/wiki — derived, do not hand-edit
README	business-docs/wiki/README.md	root					Wine Cellar MCP wiki		authentication-index,authorization-index,cellar-index,divergences,glossary,mcp-protocol,mvp-spec,preferences-index,recommendation-engine-index,reviews-index,security,token-administration-index,user-administration-index,wine-catalog-index	
0001-the-wiki-is-the-source-of-truth	business-docs/wiki/decisions/0001-the-wiki-is-the-source-of-truth.md	decision			accepted	2026-08-29	ADR-0001 — The wiki is the source of truth; other formats are derived	ADR-0001	authentication-index,authorization-index,cellar-index,preferences-index,recommendation-engine-index,reviews-index,token-administration-index,user-administration-index,wine-catalog-index	
0002-no-openapi-for-an-mcp-surface	business-docs/wiki/decisions/0002-no-openapi-for-an-mcp-surface.md	decision			accepted	2026-08-29	ADR-0002 — No OpenAPI document for an MCP surface	ADR-0002	cellar-index,preferences-index,recommendation-engine-index,reviews-index,token-administration-index,user-administration-index,wine-catalog-index	
0003-bearer-tokens-not-oauth-for-the-mvp	business-docs/wiki/decisions/0003-bearer-tokens-not-oauth-for-the-mvp.md	decision			accepted	2026-08-29	ADR-0003 — Static bearer tokens for the MVP, OAuth 2.1 as the upgrade path	ADR-0003	authentication-index,security,token-administration-index	
0004-a-deterministic-rule-based-engine	business-docs/wiki/decisions/0004-a-deterministic-rule-based-engine.md	decision			accepted	2026-08-29	ADR-0004 — The recommendation engine is deterministic and rule-based	ADR-0004	0005-every-point-of-score-maps-to-a-reason,recommendation-engine-index	
0005-every-point-of-score-maps-to-a-reason	business-docs/wiki/decisions/0005-every-point-of-score-maps-to-a-reason.md	decision			accepted	2026-08-29	ADR-0005 — Every point of score maps to a reason string	ADR-0005	recommendation-engine-index	
0006-missing-data-never-penalizes	business-docs/wiki/decisions/0006-missing-data-never-penalizes.md	decision			accepted	2026-08-29	ADR-0006 — Missing data never penalizes a wine	ADR-0006	recommendation-engine-index,wine-catalog-index	
0007-upsert-fills-blanks-and-never-overwrites	business-docs/wiki/decisions/0007-upsert-fills-blanks-and-never-overwrites.md	decision			accepted	2026-08-29	ADR-0007 — `wine_upsert` fills blanks and never overwrites	ADR-0007	wine-catalog-index	
0008-wine-and-cellar-item-are-separate	business-docs/wiki/decisions/0008-wine-and-cellar-item-are-separate.md	decision			accepted	2026-08-29	ADR-0008 — A wine and a cellar item are separate entities	ADR-0008	0007-upsert-fills-blanks-and-never-overwrites,cellar-index,wine-catalog-index	
0009-vision-happens-client-side	business-docs/wiki/decisions/0009-vision-happens-client-side.md	decision			accepted	2026-08-29	ADR-0009 — Vision happens client-side; the server never sees images	ADR-0009	0007-upsert-fills-blanks-and-never-overwrites,wine-catalog-index	
0010-two-layer-permission-enforcement	business-docs/wiki/decisions/0010-two-layer-permission-enforcement.md	decision			accepted	2026-08-29	ADR-0010 — Permission enforcement has two layers, and only one is the boundary	ADR-0010	0011-a-missing-permission-is-a-type-error,authorization-index,security	
0011-a-missing-permission-is-a-type-error	business-docs/wiki/decisions/0011-a-missing-permission-is-a-type-error.md	decision			accepted	2026-08-29	ADR-0011 — A tool without a declared permission is a compile error	ADR-0011	0010-two-layer-permission-enforcement,authorization-index	
0012-only-the-token-hash-is-stored	business-docs/wiki/decisions/0012-only-the-token-hash-is-stored.md	decision			accepted	2026-08-29	ADR-0012 — Only the token hash is stored; plaintext is returned exactly once	ADR-0012	0003-bearer-tokens-not-oauth-for-the-mvp,authentication-index,security,token-administration-index	
0013-the-first-admin-is-seeded-by-script	business-docs/wiki/decisions/0013-the-first-admin-is-seeded-by-script.md	decision			accepted	2026-08-29	ADR-0013 — The first admin is seeded by a script, not created through a tool	ADR-0013	authentication-index,user-administration-index	
0014-repurpose-this-repository	business-docs/wiki/decisions/0014-repurpose-this-repository.md	decision			accepted	2026-08-29	ADR-0014 — Repurpose this repository rather than start a new one	ADR-0014	divergences,wine-catalog-index	
0015-closed-enumerations-are-database-types	business-docs/wiki/decisions/0015-closed-enumerations-are-database-types.md	decision			accepted	2026-08-29	ADR-0015 — Closed enumerations are database types, and the palate scale is one type	ADR-0015	0006-missing-data-never-penalizes,authorization-decisions,authorization-index,cellar-index,data-types,divergences,mvp-spec,preferences-index,recommendation-engine-index,user-administration-index,wine-catalog-index	
0016-nv-is-a-value-in-the-wine-identity-key	business-docs/wiki/decisions/0016-nv-is-a-value-in-the-wine-identity-key.md	decision			accepted	2026-08-29	ADR-0016 — A non-vintage wine has no vintage, and the identity key treats that as a value	ADR-0016	0007-upsert-fills-blanks-and-never-overwrites,mvp-spec,wine-catalog-index	
0017-deletion-is-a-status-and-email-is-unique-among-the-living	business-docs/wiki/decisions/0017-deletion-is-a-status-and-email-is-unique-among-the-living.md	decision			accepted	2026-08-29	ADR-0017 — Deletion is a status, and an email is unique only among living accounts	ADR-0017	0015-closed-enumerations-are-database-types,authentication-index,divergences,mvp-spec,user-administration-index	
0018-token-identity-is-constrained-in-the-database	business-docs/wiki/decisions/0018-token-identity-is-constrained-in-the-database.md	decision			accepted	2026-08-29	ADR-0018 — A token hash is unique, a live label is unique per user, and `scopes` is never empty	ADR-0018	0012-only-the-token-hash-is-stored,authentication-index,authorization-decisions,authorization-index,divergences,mvp-spec,security,token-administration-index	
0019-bottles-are-held-as-lots	business-docs/wiki/decisions/0019-bottles-are-held-as-lots.md	decision			accepted	2026-08-29	ADR-0019 — Bottles are held as lots, and stock is `status = 'in_cellar'`	ADR-0019	0008-wine-and-cellar-item-are-separate,cellar-api,cellar-index,divergences,mvp-spec,reviews-index	
0020-bounds-are-enforced-in-the-database-too	business-docs/wiki/decisions/0020-bounds-are-enforced-in-the-database-too.md	decision			accepted	2026-08-29	ADR-0020 — Bounds are enforced in the database as well as in the tool schema	ADR-0020	0007-upsert-fills-blanks-and-never-overwrites,cellar-index,data-types,divergences,mvp-spec,preferences-index,reviews-index,user-administration-index,wine-catalog-index	
0021-wine-search-is-full-text-plus-trigram	business-docs/wiki/decisions/0021-wine-search-is-full-text-plus-trigram.md	decision			accepted	2026-08-29	ADR-0021 — `wine_search` matches on a stored tsvector plus trigram indexes, always parameterized	ADR-0021	0004-a-deterministic-rule-based-engine,0007-upsert-fills-blanks-and-never-overwrites,0020-bounds-are-enforced-in-the-database-too,divergences,mvp-spec,recommendation-engine-index,security,wine-catalog-api,wine-catalog-decisions,wine-catalog-index	
0022-oauth-alongside-bearer-tokens	business-docs/wiki/decisions/0022-oauth-alongside-bearer-tokens.md	decision			accepted	2026-08-29	ADR-0022 — OAuth 2.1 runs alongside bearer tokens, not instead of them	ADR-0022	0003-bearer-tokens-not-oauth-for-the-mvp,0010-two-layer-permission-enforcement,authentication-index,authorization-index,mvp-spec,security,token-administration-index	
authentication-api	business-docs/wiki/features/authentication/api.md	feature	authentication	api	stub	2026-08-29	Authentication — API		0002-no-openapi-for-an-mcp-surface,0003-bearer-tokens-not-oauth-for-the-mvp,0012-only-the-token-hash-is-stored,audit-logging,authentication-errors,authorization-index,mcp-protocol,security,token-administration-index	business-docs/wiki/shared/mvp-spec.md:398
authentication-copy	business-docs/wiki/features/authentication/copy.md	feature	authentication	copy	stub	2026-08-29	Authentication — copy		0012-only-the-token-hash-is-stored,authentication-errors,authentication-flow,authentication-states,authorization-index,divergences,token-administration-index	business-docs/wiki/shared/mvp-spec.md:153
authentication-decisions	business-docs/wiki/features/authentication/decisions.md	feature	authentication	decisions	stub	2026-08-29	Authentication — decisions		0002-no-openapi-for-an-mcp-surface,0003-bearer-tokens-not-oauth-for-the-mvp,0010-two-layer-permission-enforcement,0011-a-missing-permission-is-a-type-error,0012-only-the-token-hash-is-stored,0013-the-first-admin-is-seeded-by-script,0017-deletion-is-a-status-and-email-is-unique-among-the-living,0018-token-identity-is-constrained-in-the-database,0022-oauth-alongside-bearer-tokens,audit-logging,authentication-api,authentication-errors,authentication-flow,authentication-states,authorization-index,divergences,mvp-spec,security	
authentication-errors	business-docs/wiki/features/authentication/errors.md	feature	authentication	errors	stub	2026-08-29	Authentication — errors		0013-the-first-admin-is-seeded-by-script,audit-logging,authorization-index,divergences,error-codes,mvp-spec,token-administration-index,user-administration-index	business-docs/wiki/shared/mvp-spec.md:156
authentication-flow	business-docs/wiki/features/authentication/flow.md	feature	authentication	flow	stub	2026-08-29	Authentication — flow		0003-bearer-tokens-not-oauth-for-the-mvp,0012-only-the-token-hash-is-stored,0013-the-first-admin-is-seeded-by-script,audit-logging,authentication-errors,authorization-index,divergences,security,token-administration-index	business-docs/wiki/shared/mvp-spec.md:341
authentication-index	business-docs/wiki/features/authentication/index.md	feature	authentication	index	stub	2026-08-29	Authentication	authentication	0012-only-the-token-hash-is-stored,0013-the-first-admin-is-seeded-by-script,0017-deletion-is-a-status-and-email-is-unique-among-the-living,0018-token-identity-is-constrained-in-the-database,0022-oauth-alongside-bearer-tokens,authentication-api,authentication-copy,authentication-decisions,authentication-errors,authentication-flow,authentication-related,authentication-screens,authentication-states,authentication-validations,authorization-index,divergences,mvp-spec,token-administration-index,user-administration-index	business-docs/wiki/shared/mvp-spec.md:325
authentication-related	business-docs/wiki/features/authentication/related.md	feature	authentication	related	stub	2026-08-29	Authentication — related		audit-logging,authentication-errors,authorization-index,cellar-index,data-types,divergences,error-codes,glossary,mcp-protocol,preferences-index,recommendation-engine-index,reviews-index,security,token-administration-index,user-administration-index,wine-catalog-index	
authentication-screens	business-docs/wiki/features/authentication/screens.md	feature	authentication	screens	stub	2026-08-29	Authentication — screens		0012-only-the-token-hash-is-stored,authentication-copy,authentication-errors,token-administration-index	business-docs/wiki/shared/mvp-spec.md:395
authentication-states	business-docs/wiki/features/authentication/states.md	feature	authentication	states	stub	2026-08-29	Authentication — states		0003-bearer-tokens-not-oauth-for-the-mvp,0013-the-first-admin-is-seeded-by-script,authentication-flow,divergences,security,token-administration-index,user-administration-index	business-docs/wiki/shared/mvp-spec.md:70
authentication-validations	business-docs/wiki/features/authentication/validations.md	feature	authentication	validations	stub	2026-08-29	Authentication — validations		0003-bearer-tokens-not-oauth-for-the-mvp,audit-logging,authentication-errors,token-administration-index	business-docs/wiki/shared/mvp-spec.md:343
authorization-api	business-docs/wiki/features/authorization/api.md	feature	authorization	api	stub	2026-08-29	Authorization — API		0002-no-openapi-for-an-mcp-surface,0003-bearer-tokens-not-oauth-for-the-mvp,0010-two-layer-permission-enforcement,0011-a-missing-permission-is-a-type-error,audit-logging,authentication-index,authorization-copy,authorization-errors,authorization-index,authorization-validations,cellar-index,divergences,error-codes,mcp-protocol,preferences-index,recommendation-engine-index,reviews-index,token-administration-index,user-administration-index,wine-catalog-index	business-docs/wiki/shared/mvp-spec.md:144,business-docs/wiki/shared/mvp-spec.md:166
authorization-copy	business-docs/wiki/features/authorization/copy.md	feature	authorization	copy	stub	2026-08-29	Authorization — copy		0010-two-layer-permission-enforcement,0011-a-missing-permission-is-a-type-error,authentication-index,authorization-states,divergences	business-docs/wiki/shared/mvp-spec.md:153
authorization-decisions	business-docs/wiki/features/authorization/decisions.md	feature	authorization	decisions	stub	2026-08-29	Authorization — decisions		0002-no-openapi-for-an-mcp-surface,0003-bearer-tokens-not-oauth-for-the-mvp,0010-two-layer-permission-enforcement,0011-a-missing-permission-is-a-type-error,0012-only-the-token-hash-is-stored,0015-closed-enumerations-are-database-types,0018-token-identity-is-constrained-in-the-database,0022-oauth-alongside-bearer-tokens,audit-logging,authorization-api,authorization-index,authorization-validations,mcp-protocol,mvp-spec,token-administration-index	
authorization-errors	business-docs/wiki/features/authorization/errors.md	feature	authorization	errors	stub	2026-08-29	Authorization — errors		audit-logging,authentication-index,authorization-copy,authorization-validations,divergences,error-codes,mcp-protocol	business-docs/wiki/shared/mvp-spec.md:153,business-docs/wiki/shared/mvp-spec.md:156
authorization-flow	business-docs/wiki/features/authorization/flow.md	feature	authorization	flow	stub	2026-08-29	Authorization — flow		0010-two-layer-permission-enforcement,audit-logging,authentication-index,authorization-errors,authorization-validations,security	business-docs/wiki/shared/mvp-spec.md:144,business-docs/wiki/shared/mvp-spec.md:341
authorization-index	business-docs/wiki/features/authorization/index.md	feature	authorization	index	stub	2026-08-29	Authorization	authorization	0011-a-missing-permission-is-a-type-error,0015-closed-enumerations-are-database-types,0018-token-identity-is-constrained-in-the-database,0022-oauth-alongside-bearer-tokens,authentication-index,authorization-api,authorization-copy,authorization-decisions,authorization-errors,authorization-flow,authorization-related,authorization-screens,authorization-states,authorization-validations,divergences,security,token-administration-index,user-administration-index	business-docs/wiki/shared/mvp-spec.md:110,business-docs/wiki/shared/mvp-spec.md:124,business-docs/wiki/shared/mvp-spec.md:144
